BTC,64409.4523586838
ETH,2971.8523807132
USDT,1.00011503224276
SOL,152.261852084221
BNB,580.399995776495
XRP,0.509443916391856
TONCOIN,7.077460828006316
USDC,1.00009190476583
STETH,2969.118905154174
DOGE,0.152541537154301
ADA,0.446439425987734
AVAX,34.3671763935657
SHIB,2.41517999028322e-05
LINK,13.6157043422084
STRK,1.16612858388334
TRX,0.126079995750071
ENA,0.731691378794648
OP,2.45683947996823
WBTC,64356.94734198067
DOT,6.89565988211749
ARB,0.97739332003836
SUI,0.94870129123789
NEAR,7.63218003102521
APT,8.29943221758655
BCH,454.968102586597
TIA,8.52836200183847
ONDO,0.798107716463657
UNI,7.1441012246553
POL,0.674383739908755
MATIC,0.674625948959135
ICP,12.2520453723577
MANTLE,0.9719386360925385
LTC,80.7015191134652
RNDR,11.0124001016324
W,0.5571417629026149
LEO,5.9577
HBAR,0.110097665834116
XLM,0.105179396556597
SEI,0.490264928884422
CBETH,3175.424268792054
PEPE,1.07991609918664e-05
IMX,2.14832156331761
PYTH,0.42709958605191
JTO,3.98937650782582
ETC,26.5515010545309
FDUSD,26.5515010545309
CRO,0.124112986490909
WBT,9.89329188229383
CORE,9.89329188229383
ETHFI,3.43129975422358
ZETA,1.60109728630112
ATOM,8.31587807076064
DAI,0.999740597947725
STX,2.14255594355628
ALT,0.31297
GRT,0.291422039894478
FIL,5.62208863280413
WIF,3.03957076094088
VET,0.0350307998557948
AR,44.37322068632028
KAS,0.1108174034244145
FLR,0.0272491038400685
MKR,2751.815535557972
RONIN,2.5790146045706
TAO,2.5790146045706
FET,2.19598898227082
XMR,134.357255508541
RUNE,5.92964124473979
ARKM,2.435965488205421
APEX,2.435965488205421
WBETH,3085.674326894516
USDE,3085.674326894516
BONK,2.46690455231789e-05
INJ,22.776131567713
FTM,0.685539601497455
FLOKI,0.000217204
BGB,1.053
MX,4.909410977366785
THETA,2.036476792878576
DYDX,1.96448185117053
SAFE,1.9165
AXS,6.94089277811122
ALGO,0.180724671416783
PIXEL,0.35496
PRIME,15.7702007092536
LDO,1.67120573626274
NEO,15.1701673132601
QNT,96.1248839351469
ENS,14.096879001303
FTN,14.096879001303
GALA,0.042031125282323
KCS,9.596111337322924
XDC,0.0362209999441894
AAVE,84.3384060143246
FLOW,0.861556147157224
OCEAN,0.917241293781471
AGIX,0.9097563907666102
SAND,0.425427041680628
AKT,5.33727576910678
NEXO,1.252338593232543
